"product_sku","total_ordered"
"GGOEGAEJ029913",1
"GGOEYAAB031813",1
"GGOEGATH060714",1
"GGOEWCKQ085457",1
"GGOEGAAB033814",1
"GGOEGHPB003410",1
"GGOEGBPB081999",1
"GGOEGAEB027813",1
"GGOEGADB059614",1
"GGOEYAAB031814",1
"GGOEAHPJ004314",1
"GGOEGAEJ028115",1
"GGOEAAWN062648",1
"GGOEGAEJ031316",1
"GGOEGALL074615",1
"GGOEGAWQ062248",1
"GGOEGCBB074399",0
"GGOEGACB023699",0
"GGOEGBFC018799",0
"GGOEGBMC056599",0
"GGOEGHPJ080110",0
"GGOENEBQ081799",0
"GGOEWFKA083299",0
"GGOENEBQ081699",0
"GGOEGHPL003214",0
"GGOEAHPB080210",0
"GGOEGBCR024399",0
"GGOEGGCX056399",0
"GGOEGESB015199",0
"GGOEGGCX056499",0
"GGOEGDHB072099",0
"GGOEGOAJ021599",0
"GGOEGEHQ072499",0
"GGOEAHPA004110",0
"GGOEAHPJ074410",0
"GGOEGEVB070599",0
"GGOEGEHQ072599",0
"GGOENEBQ081599",0
"GGOEGOAA017199",0
"GGOEGBPB082099",0
"GGOEGDHR082199",0
"GGOEWFKA083099",0
"GGOEAOBH078799",0
"GGOEGCVB072399",0
"GGOEGOAR013599",0
"GGGGGGG9182605",0
"GGGGGGG9182569",0
"GGGGGGG9182722",0
"GGGGGGG9183223",0
"GGGGGGG9184734",0
"GGGGGGG9183213",0
"GGGGGGG9182772",0
"GGGGGGG9180753",0
"GGGGGGG9183228",0
"GGGGGGG9182765",0
"GGGGGGG9182751",0
"GGGGGGG9181573",0
"GGGGGGG9183221",0
"GGGGGGG9182755",0
"GGGGGGG9184720",0
"GGGGGGG9182723",0
"GGGGGGG9182383",0
"GGGGGGG9180809",0
"GGGGGGG9183240",0
"GGGGGGG9183226",0
"GGGGGGG9182559",0
"GGGGGGG9182743",0
"GGGGGGG9180862",0
"GGGGGGG9182745",0
"GGGGGGG9182784",0
"GGGGGGG9180905",0
"GGGGGGG9183118",0
"GGGGGGG9180833",0
"GGGGGGG9184737",0
"GGGGGGG9182502",0
"GGGGGGG9180769",0
"GGGGGGG9183219",0
"GGGGGGG9182778",0
"GGGGGGG9184675",0
"GGGGGGG9180766",0
"GGGGGGG9181137",0
"GGGGGGG9183239",0
"GGGGGGG9180748",0
"GGGGGGG9180814",0
"GGGGGGG9182739",0
"GGGGGGG9180757",0
"GGGGGGG9181019",0
"GGGGGGG9183222",0
"GGGGGGG9180781",0
"GGGGGGG9183241",0
"GGGGGGG9184677",0
"GGGGGGG9182781",0
"GGGGGGG9182721",0
"GGGGGGG9180824",0
"GGGGGGG9183203",0
"GGGGGGG9180793",0
"GGGGGGG9184676",0
"GGGGGGG9183186",0
"GGGGGGG9182980",0
"GGGGGGG9184663",0
"GGGGGGG9183234",0
"GGGGGGG9183230",0
"GGGGGGG9182763",0
"GGGGGGG9182779",0
"GGGGGGG9182780",0
"GGGGGGG9182173",0
"GGGGGGG9181150",0
"GGGGGGG9182709",0
"GGGGGGG9182737",0
"GGGGGGG9183229",0
"GGGGGGG9184733",0
"GGGGGGG9180782",0
"GGGGGGG9182714",0
"GGGGGGG9182752",0
"GGGGGGG9180850",0
"GGGGGGG9182726",0
"GGGGGGG9182182",0
"GGGGGGG9180808",0
"GGGGGGG9182771",0
"GGGGGGG9182785",0
"GGGGGGG9181139",0
"GGGGGGG9184620",0
"GGGGGGG9182742",0
"GGGGOEGAAX0037",146
"GGGGOEGAAX0098",104
"GGGGOEGAAX0781",82
"GGGGOEGAAX0081",42
"GGGGOEGAAX0074",40
"GGGGOEGAAX0330",20
"GGGGOEGAAX0620",20
"GGGGOEGAAX0104",15
"GGGGOEGAAX0106",13
"GGGGOEGAAX0313",11
"GGGGOEGAAX0318",8
"GGGGOEGAAX0795",7
"GGGGOEGAAX0690",7
"GGGGOEGAAX0617",6
"GGGGOEGAAX0364",6
"GGGGOEGAAX0325",6
"GGGGOEGAAX0341",6
"GGGGOEGAAX0671",6
"GGGGOEGXXX0806",5
"GGGGOEAXXX0808",5
"GGGGOEGAAX0680",5
"GGGGOEGAAX0299",4
"GGGGOEGAAX0342",4
"GGGGOEGAAX0279",4
"GGGGOEGAAX0105",4
"GGGGOEGAAX0591",3
"GGGGOEGAAX0278",3
"GGGGOEGAAX0682",3
"GGGGOEGAAX0568",3
"GGGGOEGAAX0358",3
"GGGGOEGAAX0651",3
"GGGGOEGAAX0619",3
"GGGGOEGAAX0602",3
"GGGGOEGAAX0625",3
"GGGGOEGAAX0357",3
"GGGGOEGAAX0283",2
"GGGGOEGAAX0351",2
"GGGGOEGAAX0655",2
"GGGGOEGAAX0334",2
"GGGGOEGAAX0731",2
"GGGGOEGAAX0280",2
"GGGGOEGAAX0352",2
"GGGGOEGAAX0618",2
"GGGGOEGAAX0622",2
"GGGGOEGAAX0578",2
"GGGGOEGAAX0661",2
"GGGGOEGAAX0366",2
"GGGGOEGAAX0626",2
"GGGGOEGAAX0569",1
"GGGGOEGAAX0309",1
"GGGGOEGAAX0308",1
"GGGGOEGAAX0107",1
"GGGGOEGAAX0326",1
"GGGGOEGAAX0297",1
"GGGGOEGAAX0281",1
"GGGGOEGAAX0579",1
"GGGGOEGAAX0320",1
"GGGGOEGAAX0610",1
"GGGGOEGAAX0338",1
"GGGGOEGAAX0761",1
"GGGGOEGAAX0289",1
"GGGGOEGAAX0733",1
"GGGGOEGAAX0290",1
"GGGGOEAXXX0812",1
"GGGGOEGAAX0606",1
"GGGGOEGAAX0596",1
"GGGGOEWXXX0827",0
"GGGGOEGAAX0361",0
"GGGGOEGAAX0296",0
"GGGGOEGAAX0327",0
"GGGGOEGAAX0570",0
"GGGGOEGAAX0042",0
"GGGGOEGAAX0231",0
"GGGGOEGAAX0348",0
"GGGGOEGAAX0572",0
"GGGGOEGAAX0592",0
